Sample_Index,IR_Value,Timestamp_ms
0,21964,0.00
1,21920,19.98
2,22112,39.95
3,22328,59.93
4,22516,79.91
5,22600,99.88
6,22648,119.86
7,22816,139.84
8,22984,159.81
9,23152,179.79
10,23316,199.77
11,23484,219.74
12,23648,239.72
13,23788,259.70
14,23900,279.67
15,23996,299.65
16,24076,319.63
17,24140,339.60
18,24184,359.58
19,24220,379.56
20,24240,399.53
21,24252,419.51
22,24244,439.49
23,24224,459.46
24,24204,479.44
25,24164,499.42
26,24156,519.39
27,24168,539.37
28,24172,559.35
29,24176,579.32
30,24180,599.30
31,24196,619.28
32,24196,639.25
33,24208,659.23
34,24204,679.21
35,24204,699.18
36,24200,719.16
37,24188,739.14
38,24176,759.11
39,24160,779.09
40,24144,799.06
41,24132,819.04
42,24124,839.02
43,24124,858.99
44,24124,878.97
45,24120,898.95
46,24112,918.92
47,24108,938.90
48,24116,958.88
49,24120,978.85
50,24128,998.83
51,24124,1018.81
52,24120,1038.78
53,24116,1058.76
54,24116,1078.74
55,24116,1098.71
56,24116,1118.69
57,24120,1138.67
58,24128,1158.64
59,24128,1178.62
60,24140,1198.60
61,24140,1218.57
62,24148,1238.55
63,24148,1258.53
64,24152,1278.50
65,24156,1298.48
66,24116,1318.46
67,24084,1338.43
68,24068,1358.41
69,24056,1378.39
70,24056,1398.36
71,24044,1418.34
72,24080,1438.32
73,24016,1458.29
74,24028,1478.27
75,24064,1498.25
76,24068,1518.22
77,24052,1538.20
78,24044,1558.18
79,24036,1578.15
80,24024,1598.13
81,24012,1618.11
82,23980,1638.08
83,23944,1658.06
84,23896,1678.04
85,23864,1698.01
86,23836,1717.99
87,23820,1737.97
88,23792,1757.94
89,23780,1777.92
90,23772,1797.90
91,23768,1817.87
92,23760,1837.85
93,23752,1857.83
94,23748,1877.80
95,23744,1897.78
96,23732,1917.76
97,23724,1937.73
98,23720,1957.71
99,23708,1977.69
100,23700,1997.66
101,23692,2017.64
102,23684,2037.62
103,23676,2057.59
104,23668,2077.57
105,23664,2097.55
106,23668,2117.52
107,23664,2137.50
108,23660,2157.48
109,23656,2177.45
110,23656,2197.43
111,23656,2217.41
112,23660,2237.38
113,23656,2257.36
114,23656,2277.34
115,23656,2297.31
116,23660,2317.29
117,23656,2337.26
118,23656,2357.24
119,23656,2377.22
120,23652,2397.19
121,23656,2417.17
122,23656,2437.15
123,23656,2457.12
124,23656,2477.10
125,23652,2497.08
126,23636,2517.05
127,23612,2537.03
128,23588,2557.01
129,23564,2576.98
130,23552,2596.96
131,23544,2616.94
132,23528,2636.91
133,23520,2656.89
134,23512,2676.87
135,23504,2696.84
136,23500,2716.82
137,23496,2736.80
138,23492,2756.77
139,23480,2776.75
140,23476,2796.73
141,23472,2816.70
142,23460,2836.68
143,23448,2856.66
144,23448,2876.63
145,23440,2896.61
146,23436,2916.59
147,23436,2936.56
148,23432,2956.54
149,23432,2976.52
150,23432,2996.49
151,23432,3016.47
152,23428,3036.45
153,23428,3056.42
154,23428,3076.40
155,23428,3096.38
156,23424,3116.35
157,23428,3136.33
158,23432,3156.31
159,23436,3176.28
160,23436,3196.26
161,23436,3216.24
162,23440,3236.21
163,23444,3256.19
164,23444,3276.17
165,23448,3296.14
166,23452,3316.12
167,23460,3336.10
168,23460,3356.07
169,23456,3376.05
170,23452,3396.03
171,23428,3416.00
172,23404,3435.98
173,23380,3455.96
174,23356,3475.93
175,23336,3495.91
176,23332,3515.89
177,23316,3535.86
178,23312,3555.84
179,23300,3575.82
180,23292,3595.79
181,23284,3615.77
182,23276,3635.75
183,23276,3655.72
184,23272,3675.70
185,23264,3695.68
186,23256,3715.65
187,23248,3735.63
188,23240,3755.61
189,23236,3775.58
190,23228,3795.56
191,23224,3815.54
192,23224,3835.51
193,23224,3855.49
