Sample_Index,IR_Value,Timestamp_ms
0,21660,0.00
1,21800,20.76
2,22020,41.53
3,22204,62.29
4,22352,83.06
5,22452,103.82
6,22520,124.59
7,22540,145.35
8,22544,166.12
9,22560,186.88
10,22604,207.65
11,22672,228.41
12,22748,249.18
13,22824,269.94
14,22856,290.70
15,22812,311.47
16,22736,332.23
17,22632,353.00
18,22520,373.76
19,22420,394.53
20,22344,415.29
21,22300,436.06
22,22288,456.82
23,22292,477.59
24,22332,498.35
25,22356,519.12
26,22372,539.88
27,22376,560.65
28,22364,581.41
29,22344,602.17
30,22316,622.94
31,22296,643.70
32,22276,664.47
33,22268,685.23
34,22268,706.00
35,22276,726.76
36,22288,747.53
37,22288,768.29
38,22296,789.06
39,22292,809.82
40,22280,830.59
41,22264,851.35
42,22252,872.11
43,22240,892.88
44,22228,913.64
45,22228,934.41
46,22220,955.17
47,22216,975.94
48,22208,996.70
49,22204,1017.47
50,22208,1038.23
51,22180,1059.00
52,22112,1079.76
53,22008,1100.53
54,21916,1121.29
55,21836,1142.06
56,21780,1162.82
57,21736,1183.58
58,21716,1204.35
59,21704,1225.11
60,21700,1245.88
61,21708,1266.64
62,21728,1287.41
63,21748,1308.17
64,21772,1328.94
65,21780,1349.70
66,21784,1370.47
67,21788,1391.23
68,21796,1412.00
69,21796,1432.76
70,21800,1453.52
71,21804,1474.29
72,21808,1495.05
73,21820,1515.82
74,21836,1536.58
75,21848,1557.35
76,21876,1578.11
77,21904,1598.88
78,21932,1619.64
79,21952,1640.41
80,21980,1661.17
81,22008,1681.94
82,22048,1702.70
83,22080,1723.47
84,22116,1744.23
85,22140,1764.99
86,22132,1785.76
87,22088,1806.52
88,22036,1827.29
89,22000,1848.05
90,21984,1868.82
91,21996,1889.58
92,22020,1910.35
93,22056,1931.11
94,22088,1951.88
95,22116,1972.64
96,22152,1993.41
97,22192,2014.17
98,22228,2034.93
99,22252,2055.70
100,22268,2076.46
101,22280,2097.23
102,22296,2117.99
103,22316,2138.76
104,22348,2159.52
105,22388,2180.29
106,22432,2201.05
107,22480,2221.82
108,22524,2242.58
109,22572,2263.35
110,22616,2284.11
111,22664,2304.88
112,22708,2325.64
113,22744,2346.40
114,22776,2367.17
115,22808,2387.93
116,22832,2408.70
117,22856,2429.46
118,22860,2450.23
119,22812,2470.99
120,22720,2491.76
121,22604,2512.52
122,22476,2533.29
123,22328,2554.05
124,22176,2574.82
125,22056,2595.58
126,21980,2616.34
127,21944,2637.11
128,21932,2657.87
129,21948,2678.64
130,21996,2699.40
131,22060,2720.17
132,22132,2740.93
133,22196,2761.70
134,22248,2782.46
135,22288,2803.23
136,22328,2823.99
137,22372,2844.76
138,22412,2865.52
139,22452,2886.28
140,22492,2907.05
141,22524,2927.81
142,22560,2948.58
143,22608,2969.34
144,22668,2990.11
145,22716,3010.87
