Sample_Index,IR_Value,Timestamp_ms
0,22388,0.00
1,22380,19.97
2,22380,39.95
3,22372,59.92
4,22368,79.89
5,22376,99.87
6,22400,119.84
7,22448,139.81
8,22492,159.79
9,22532,179.76
10,22556,199.73
11,22552,219.71
12,22528,239.68
13,22500,259.65
14,22476,279.63
15,22496,299.60
16,22532,319.57
17,22564,339.55
18,22580,359.52
19,22604,379.49
20,22628,399.47
21,22652,419.44
22,22668,439.41
23,22672,459.39
24,22676,479.36
25,22680,499.33
26,22680,519.31
27,22664,539.28
28,22636,559.25
29,22624,579.23
30,22648,599.20
31,22664,619.17
32,22668,639.15
33,22672,659.12
34,22676,679.09
35,22688,699.07
36,22708,719.04
37,22728,739.01
38,22748,758.98
39,22768,778.96
40,22740,798.93
41,22688,818.90
42,22628,838.88
43,22572,858.85
44,22536,878.82
45,22524,898.80
46,22528,918.77
47,22540,938.74
48,22548,958.72
49,22556,978.69
50,22572,998.66
51,22592,1018.64
52,22616,1038.61
53,22644,1058.58
54,22680,1078.56
55,22712,1098.53
56,22728,1118.50
57,22740,1138.48
58,22752,1158.45
59,22776,1178.42
60,22804,1198.40
61,22852,1218.37
62,22904,1238.34
63,22960,1258.32
64,23024,1278.29
65,23084,1298.26
66,23132,1318.24
67,23168,1338.21
68,23196,1358.18
69,23208,1378.16
70,23208,1398.13
71,23184,1418.10
72,23160,1438.08
73,23152,1458.05
74,23156,1478.02
75,23168,1498.00
76,23184,1517.97
77,23196,1537.94
78,23204,1557.92
79,23212,1577.89
80,23220,1597.86
81,23220,1617.84
82,23200,1637.81
83,23140,1657.78
84,23064,1677.76
85,22984,1697.73
86,22928,1717.70
87,22884,1737.68
88,22860,1757.65
89,22848,1777.62
90,22844,1797.60
91,22848,1817.57
92,22852,1837.54
93,22868,1857.52
94,22888,1877.49
95,22912,1897.46
96,22924,1917.44
97,22932,1937.41
98,22932,1957.38
99,22916,1977.36
100,22900,1997.33
101,22900,2017.30
102,22908,2037.28
103,22920,2057.25
104,22940,2077.22
105,22960,2097.20
106,22980,2117.17
107,23000,2137.14
108,23020,2157.12
109,23044,2177.09
110,23060,2197.06
111,23080,2217.03
112,23096,2237.01
113,23116,2256.98
114,23128,2276.95
115,23140,2296.93
116,23152,2316.90
117,23148,2336.87
118,23120,2356.85
119,23060,2376.82
120,22992,2396.79
121,22920,2416.77
122,22868,2436.74
123,22840,2456.71
124,22828,2476.69
125,22824,2496.66
126,22832,2516.63
127,22844,2536.61
128,22860,2556.58
129,22880,2576.55
130,22896,2596.53
131,22896,2616.50
132,22884,2636.47
133,22876,2656.45
134,22860,2676.42
135,22844,2696.39
136,22828,2716.37
137,22820,2736.34
138,22816,2756.31
139,22816,2776.29
140,22816,2796.26
141,22828,2816.23
142,22832,2836.21
143,22836,2856.18
144,22844,2876.15
145,22852,2896.13
146,22852,2916.10
147,22856,2936.07
148,22856,2956.05
149,22864,2976.02
150,22868,2995.99
151,22876,3015.97
152,22884,3035.94
153,22868,3055.91
154,22828,3075.89
155,22768,3095.86
156,22684,3115.83
157,22608,3135.81
158,22552,3155.78
159,22516,3175.75
160,22508,3195.73
161,22512,3215.70
162,22520,3235.67
163,22528,3255.65
164,22536,3275.62
165,22556,3295.59
166,22568,3315.57
167,22584,3335.54
168,22592,3355.51
169,22596,3375.49
170,22588,3395.46
171,22584,3415.43
172,22580,3435.41
