Sample_Index,IR_Value,Timestamp_ms
0,22688,0.00
1,22748,20.02
2,22808,40.04
3,22860,60.06
4,22908,80.08
5,22956,100.09
6,23004,120.11
7,23060,140.13
8,23108,160.15
9,23152,180.17
10,23204,200.19
11,23256,220.21
12,23292,240.23
13,23316,260.25
14,23332,280.27
15,23348,300.28
16,23364,320.30
17,23392,340.32
18,23420,360.34
19,23456,380.36
20,23496,400.38
21,23536,420.40
22,23572,440.42
23,23608,460.44
24,23640,480.45
25,23672,500.47
26,23700,520.49
27,23728,540.51
28,23752,560.53
29,23780,580.55
30,23804,600.57
31,23824,620.59
32,23840,640.61
33,23864,660.62
34,23888,680.64
35,23908,700.66
36,23932,720.68
37,23948,740.70
38,23968,760.72
39,23980,780.74
40,23996,800.76
41,24016,820.78
42,24036,840.80
43,24048,860.81
44,24048,880.83
45,24040,900.85
46,24024,920.87
47,24016,940.89
48,24008,960.91
49,24008,980.93
50,24012,1000.95
51,24016,1020.97
52,24024,1040.98
53,24032,1061.00
54,24044,1081.02
55,24052,1101.04
56,24064,1121.06
57,24068,1141.08
58,24072,1161.10
59,24076,1181.12
60,24080,1201.14
61,24088,1221.15
62,24096,1241.17
63,24104,1261.19
64,24116,1281.21
65,24128,1301.23
66,24136,1321.25
67,24144,1341.27
68,24148,1361.29
69,24156,1381.31
70,24168,1401.33
71,24176,1421.34
72,24188,1441.36
73,24200,1461.38
74,24204,1481.40
75,24196,1501.42
76,24184,1521.44
77,24160,1541.46
78,24140,1561.48
79,24124,1581.50
80,24108,1601.51
81,24100,1621.53
82,24096,1641.55
83,24096,1661.57
84,24108,1681.59
85,24116,1701.61
86,24124,1721.63
87,24128,1741.65
88,24128,1761.67
89,24128,1781.69
90,24124,1801.70
91,24120,1821.72
92,24116,1841.74
93,24124,1861.76
94,24120,1881.78
95,24128,1901.80
96,24128,1921.82
97,24132,1941.84
98,24132,1961.86
99,24136,1981.87
100,24140,2001.89
101,24148,2021.91
102,24152,2041.93
103,24152,2061.95
104,24160,2081.97
105,24152,2101.99
106,24140,2122.01
107,24116,2142.03
108,24084,2162.04
109,24048,2182.06
110,24016,2202.08
111,23992,2222.10
112,23980,2242.12
113,23972,2262.14
114,23968,2282.16
115,23968,2302.18
116,23964,2322.20
117,23964,2342.22
118,23956,2362.23
119,23944,2382.25
120,23932,2402.27
121,23916,2422.29
122,23904,2442.31
123,23896,2462.33
124,23880,2482.35
125,23880,2502.37
126,23872,2522.39
127,23864,2542.40
128,23856,2562.42
129,23848,2582.44
130,23836,2602.46
131,23836,2622.48
132,23836,2642.50
133,23828,2662.52
134,23820,2682.54
135,23816,2702.56
136,23816,2722.58
137,23796,2742.59
138,23764,2762.61
139,23712,2782.63
140,23656,2802.65
141,23596,2822.67
142,23548,2842.69
143,23512,2862.71
144,23484,2882.73
145,23464,2902.75
146,23448,2922.76
147,23432,2942.78
148,23424,2962.80
149,23412,2982.82
150,23400,3002.84
151,23380,3022.86
152,23356,3042.88
153,23328,3062.90
154,23304,3082.92
155,23280,3102.93
156,23264,3122.95
157,23244,3142.97
158,23228,3162.99
159,23212,3183.01
160,23200,3203.03
161,23192,3223.05
162,23176,3243.07
163,23172,3263.09
164,23156,3283.11
165,23144,3303.12
166,23132,3323.14
167,23116,3343.16
168,23076,3363.18
169,23024,3383.20
170,22960,3403.22
171,22904,3423.24
172,22856,3443.26
173,22820,3463.28
174,22796,3483.29
175,22776,3503.31
176,22764,3523.33
177,22752,3543.35
178,22736,3563.37
179,22728,3583.39
180,22728,3603.41
181,22732,3623.43
182,22736,3643.45
183,22740,3663.46
184,22748,3683.48
185,22760,3703.50
186,22776,3723.52
187,22796,3743.54
188,22816,3763.56
189,22844,3783.58
190,22868,3803.60
191,22892,3823.62
192,22920,3843.64
193,22940,3863.65
194,22960,3883.67
195,22980,3903.69
196,23008,3923.71
197,23036,3943.73
198,23056,3963.75
199,23072,3983.77
200,23092,4003.79
201,23092,4023.81
202,23096,4043.82
203,23104,4063.84
204,23108,4083.86
205,23112,4103.88
206,23132,4123.90
207,23152,4143.92
208,23176,4163.94
209,23200,4183.96
210,23232,4203.98
211,23260,4224.00
212,23292,4244.01
213,23324,4264.03
214,23360,4284.05
215,23392,4304.07
216,23432,4324.09
217,23464,4344.11
218,23500,4364.13
219,23528,4384.15
220,23560,4404.17
221,23588,4424.18
222,23620,4444.20
223,23648,4464.22
224,23672,4484.24
225,23696,4504.26
226,23724,4524.28
227,23748,4544.30
228,23772,4564.32
229,23792,4584.34
230,23800,4604.35
231,23804,4624.37
232,23808,4644.39
233,23816,4664.41
234,23832,4684.43
235,23852,4704.45
236,23868,4724.47
237,23892,4744.49
238,23912,4764.51
239,23932,4784.53
240,23952,4804.54
241,23980,4824.56
242,23996,4844.58
243,24016,4864.60
244,24032,4884.62
245,24048,4904.64
246,24060,4924.66
247,24076,4944.68
248,24092,4964.70
249,24108,4984.71
250,24124,5004.73
251,24140,5024.75
252,24160,5044.77
253,24176,5064.79
254,24192,5084.81
255,24204,5104.83
256,24216,5124.85
257,24236,5144.87
258,24248,5164.88
259,24260,5184.90
260,24272,5204.92
261,24288,5224.94
262,24300,5244.96
263,24300,5264.98
264,24292,5285.00
265,24292,5305.02
266,24296,5325.04
267,24308,5345.06
268,24324,5365.07
269,24344,5385.09
270,24356,5405.11
271,24372,5425.13
272,24388,5445.15
273,24404,5465.17
274,24416,5485.19
275,24424,5505.21
276,24436,5525.23
277,24444,5545.24
278,24452,5565.26
279,24464,5585.28
280,24476,5605.30
281,24480,5625.32
282,24492,5645.34
283,24504,5665.36
284,24516,5685.38
285,24528,5705.40
286,24536,5725.42
287,24548,5745.43
288,24556,5765.45
289,24568,5785.47
290,24572,5805.49
291,24580,5825.51
292,24584,5845.53
293,24588,5865.55
294,24588,5885.57
295,24576,5905.59
296,24576,5925.60
297,24576,5945.62
298,24584,5965.64
299,24592,5985.66
