Sample_Index,IR_Value,Timestamp_ms
0,24700,0.00
1,24700,20.70
2,24700,41.41
3,24700,62.11
4,24704,82.82
5,24708,103.52
6,24712,124.22
7,24720,144.93
8,24724,165.63
9,24728,186.33
10,24728,207.04
11,24724,227.74
12,24724,248.45
13,24720,269.15
14,24720,289.85
15,24720,310.56
16,24728,331.26
17,24740,351.97
18,24748,372.67
19,24760,393.37
20,24768,414.08
21,24788,434.78
22,24796,455.48
23,24804,476.19
24,24820,496.89
25,24828,517.60
26,24840,538.30
27,24852,559.00
28,24864,579.71
29,24876,600.41
30,24884,621.12
31,24884,641.82
32,24880,662.52
33,24864,683.23
34,24836,703.93
35,24812,724.63
36,24788,745.34
37,24764,766.04
38,24756,786.75
39,24748,807.45
40,24748,828.15
41,24740,848.86
42,24744,869.56
43,24744,890.27
44,24744,910.97
45,24748,931.67
46,24748,952.38
47,24752,973.08
48,24748,993.78
49,24744,1014.49
50,24740,1035.19
51,24740,1055.90
52,24740,1076.60
53,24744,1097.30
54,24756,1118.01
55,24760,1138.71
56,24772,1159.42
57,24784,1180.12
58,24788,1200.82
59,24804,1221.53
60,24812,1242.23
61,24824,1262.93
62,24832,1283.64
63,24844,1304.34
64,24852,1325.05
65,24864,1345.75
66,24876,1366.45
67,24888,1387.16
68,24896,1407.86
69,24896,1428.57
70,24884,1449.27
71,24860,1469.97
72,24828,1490.68
73,24796,1511.38
74,24772,1532.09
75,24756,1552.79
76,24744,1573.49
77,24736,1594.20
78,24732,1614.90
79,24728,1635.60
80,24724,1656.31
81,24724,1677.01
82,24724,1697.72
83,24724,1718.42
84,24724,1739.12
85,24724,1759.83
86,24720,1780.53
87,24716,1801.24
88,24712,1821.94
89,24712,1842.64
90,24708,1863.35
91,24712,1884.05
92,24720,1904.75
93,24732,1925.46
94,24740,1946.16
95,24748,1966.87
96,24756,1987.57
97,24764,2008.27
98,24772,2028.98
99,24784,2049.68
100,24788,2070.39
101,24800,2091.09
102,24812,2111.79
103,24820,2132.50
104,24828,2153.20
105,24844,2173.90
106,24852,2194.61
107,24844,2215.31
108,24832,2236.02
109,24804,2256.72
110,24772,2277.42
111,24740,2298.13
112,24720,2318.83
113,24700,2339.54
114,24684,2360.24
115,24672,2380.94
116,24672,2401.65
117,24668,2422.35
118,24664,2443.05
119,24664,2463.76
120,24668,2484.46
121,24672,2505.17
122,24668,2525.87
123,24668,2546.57
124,24668,2567.28
125,24664,2587.98
126,24660,2608.69
127,24660,2629.39
128,24668,2650.09
129,24672,2670.80
130,24680,2691.50
131,24688,2712.20
132,24696,2732.91
133,24708,2753.61
134,24712,2774.32
135,24724,2795.02
136,24736,2815.72
137,24744,2836.43
138,24756,2857.13
139,24768,2877.84
140,24772,2898.54
141,24784,2919.24
142,24792,2939.95
143,24800,2960.65
144,24808,2981.35
145,24816,3002.06
146,24824,3022.76
147,24820,3043.47
148,24804,3064.17
149,24768,3084.87
150,24740,3105.58
151,24704,3126.28
152,24680,3146.99
153,24664,3167.69
154,24648,3188.39
155,24644,3209.10
