Sample_Index,IR_Value,Timestamp_ms
0,20836,0.00
1,21012,20.80
2,21212,41.59
3,21484,62.39
4,21624,83.18
5,21828,103.98
6,22092,124.78
7,22420,145.57
8,22744,166.37
9,22992,187.16
10,23148,207.96
11,23248,228.76
12,23336,249.55
13,23408,270.35
14,23440,291.14
15,23444,311.94
16,23440,332.74
17,23436,353.53
18,23532,374.33
19,23720,395.12
20,23748,415.92
21,23756,436.71
22,23784,457.51
23,23808,478.31
24,23840,499.10
25,23860,519.90
26,23860,540.69
27,23868,561.49
28,23884,582.29
29,23900,603.08
30,23908,623.88
31,23896,644.67
32,23912,665.47
33,23944,686.27
34,23940,707.06
35,23916,727.86
36,23904,748.65
37,23900,769.45
38,23868,790.25
39,23836,811.04
40,23808,831.84
41,23788,852.63
42,23772,873.43
43,23760,894.23
44,23756,915.02
45,23748,935.82
46,23736,956.61
47,23724,977.41
48,23716,998.21
49,23700,1019.00
50,23692,1039.80
51,23680,1060.59
52,23680,1081.39
53,23688,1102.18
54,23700,1122.98
55,23720,1143.78
56,23740,1164.57
57,23760,1185.37
58,23768,1206.16
59,23776,1226.96
60,23788,1247.76
61,23800,1268.55
62,23820,1289.35
63,23840,1310.14
64,23860,1330.94
65,23876,1351.74
66,23892,1372.53
67,23896,1393.33
68,23888,1414.12
69,23872,1434.92
70,23864,1455.72
71,23868,1476.51
72,23872,1497.31
73,23884,1518.10
74,23908,1538.90
75,23932,1559.70
76,23964,1580.49
77,24000,1601.29
78,24032,1622.08
79,24056,1642.88
80,24076,1663.68
81,24096,1684.47
82,24112,1705.27
83,24128,1726.06
84,24132,1746.86
85,24140,1767.66
86,24152,1788.45
87,24164,1809.25
88,24172,1830.04
89,24188,1850.84
90,24204,1871.63
91,24216,1892.43
92,24232,1913.23
93,24248,1934.02
94,24256,1954.82
95,24272,1975.61
96,24280,1996.41
97,24288,2017.21
98,24276,2038.00
99,24256,2058.80
100,24236,2079.59
101,24224,2100.39
102,24220,2121.19
103,24228,2141.98
104,24236,2162.78
105,24248,2183.57
106,24264,2204.37
107,24276,2225.17
108,24292,2245.96
109,24304,2266.76
110,24312,2287.55
111,24320,2308.35
112,24316,2329.15
113,24320,2349.94
114,24320,2370.74
115,24328,2391.53
116,24332,2412.33
117,24340,2433.13
118,24344,2453.92
119,24360,2474.72
120,24368,2495.51
121,24380,2516.31
122,24384,2537.10
123,24396,2557.90
124,24404,2578.70
125,24408,2599.49
126,24408,2620.29
127,24384,2641.08
128,24356,2661.88
129,24328,2682.68
130,24308,2703.47
131,24300,2724.27
132,24296,2745.06
133,24300,2765.86
134,24304,2786.66
135,24316,2807.45
136,24324,2828.25
137,24336,2849.04
138,24344,2869.84
139,24344,2890.64
140,24348,2911.43
141,24348,2932.23
142,24348,2953.02
143,24348,2973.82
144,24348,2994.62
145,24348,3015.41
146,24352,3036.21
147,24356,3057.00
148,24368,3077.80
149,24372,3098.60
150,24380,3119.39
151,24380,3140.19
152,24392,3160.98
153,24400,3181.78
