Sample_Index,IR_Value,Timestamp_ms
0,23760,0.00
1,23780,23.72
2,23800,47.43
3,23816,71.15
4,23832,94.86
5,23848,118.58
6,23872,142.29
7,23892,166.01
8,23912,189.72
9,23928,213.44
10,23948,237.15
11,23972,260.87
12,23996,284.58
13,24016,308.30
14,24032,332.01
15,24048,355.73
16,24068,379.44
17,24088,403.16
18,24108,426.87
19,24116,450.59
20,24120,474.30
21,24108,498.02
22,24088,521.73
23,24064,545.45
24,24040,569.16
25,24028,592.88
26,24016,616.59
27,24012,640.31
28,24020,664.02
29,24016,687.74
30,24028,711.45
31,24036,735.17
32,24044,758.88
33,24052,782.60
34,24056,806.31
35,24056,830.03
36,24064,853.74
37,24064,877.46
38,24068,901.17
39,24068,924.89
40,24072,948.60
41,24076,972.32
42,24080,996.03
43,24092,1019.75
44,24096,1043.47
45,24100,1067.18
46,24108,1090.90
47,24116,1114.61
48,24124,1138.33
49,24136,1162.04
50,24148,1185.76
51,24152,1209.47
52,24160,1233.19
53,24168,1256.90
54,24172,1280.62
55,24176,1304.33
56,24176,1328.05
57,24180,1351.76
58,24188,1375.48
59,24192,1399.19
60,24192,1422.91
61,24172,1446.62
62,24140,1470.34
63,24100,1494.05
64,24068,1517.77
65,24032,1541.48
66,24004,1565.20
67,23976,1588.91
68,23960,1612.63
69,23940,1636.34
70,23924,1660.06
71,23916,1683.77
72,23908,1707.49
73,23908,1731.20
74,23908,1754.92
75,23904,1778.63
76,23900,1802.35
77,23900,1826.06
78,23900,1849.78
79,23904,1873.49
80,23908,1897.21
81,23912,1920.92
82,23920,1944.64
83,23928,1968.35
84,23940,1992.07
85,23952,2015.78
86,23968,2039.50
87,23980,2063.22
88,24000,2086.93
89,24012,2110.65
90,24020,2134.36
91,24032,2158.08
92,24044,2181.79
93,24052,2205.51
94,24060,2229.22
95,24068,2252.94
96,24080,2276.65
97,24088,2300.37
98,24100,2324.08
99,24104,2347.80
100,24100,2371.51
101,24080,2395.23
102,24052,2418.94
103,24024,2442.66
104,23992,2466.37
105,23976,2490.09
106,23968,2513.80
107,23960,2537.52
108,23964,2561.23
109,23968,2584.95
110,23976,2608.66
111,23984,2632.38
112,23996,2656.09
113,24004,2679.81
114,24004,2703.52
115,24008,2727.24
116,24008,2750.95
117,24004,2774.67
118,24004,2798.38
119,24000,2822.10
120,23996,2845.81
121,23996,2869.53
122,24000,2893.24
123,24004,2916.96
124,24012,2940.67
125,24016,2964.39
126,24028,2988.10
127,24036,3011.82
128,24044,3035.53
129,24048,3059.25
130,24056,3082.97
131,24060,3106.68
132,24064,3130.40
133,24068,3154.11
134,24072,3177.83
135,24072,3201.54
136,24076,3225.26
137,24056,3248.97
138,24028,3272.69
139,23992,3296.40
140,23956,3320.12
141,23924,3343.83
142,23892,3367.55
143,23876,3391.26
144,23864,3414.98
145,23864,3438.69
146,23864,3462.41
147,23876,3486.12
148,23880,3509.84
149,23888,3533.55
150,23892,3557.27
151,23892,3580.98
152,23888,3604.70
153,23880,3628.41
154,23872,3652.13
155,23868,3675.84
156,23860,3699.56
157,23860,3723.27
158,23860,3746.99
159,23868,3770.70
160,23868,3794.42
161,23876,3818.13
162,23884,3841.85
163,23888,3865.56
164,23896,3889.28
165,23908,3912.99
166,23916,3936.71
167,23924,3960.42
168,23932,3984.14
169,23928,4007.85
170,23916,4031.57
171,23880,4055.28
172,23832,4079.00
173,23780,4102.72
174,23728,4126.43
175,23696,4150.15
176,23676,4173.86
177,23664,4197.58
178,23656,4221.29
179,23660,4245.01
180,23668,4268.72
181,23676,4292.44
182,23680,4316.15
183,23676,4339.87
184,23672,4363.58
185,23664,4387.30
186,23652,4411.01
187,23644,4434.73
188,23640,4458.44
189,23640,4482.16
190,23640,4505.87
191,23648,4529.59
192,23656,4553.30
193,23664,4577.02
194,23668,4600.73
195,23680,4624.45
196,23696,4648.16
197,23712,4671.88
198,23724,4695.59
199,23736,4719.31
200,23728,4743.02
201,23704,4766.74
202,23652,4790.45
203,23592,4814.17
204,23532,4837.88
205,23480,4861.60
206,23448,4885.31
207,23432,4909.03
208,23420,4932.74
209,23420,4956.46
210,23420,4980.17
211,23428,5003.89
212,23432,5027.60
213,23436,5051.32
214,23440,5075.03
215,23444,5098.75
216,23448,5122.47
217,23444,5146.18
218,23448,5169.90
219,23448,5193.61
220,23448,5217.33
221,23456,5241.04
222,23460,5264.76
223,23472,5288.47
224,23488,5312.19
225,23504,5335.90
226,23516,5359.62
227,23532,5383.33
228,23552,5407.05
229,23568,5430.76
230,23580,5454.48
231,23592,5478.19
232,23576,5501.91
233,23536,5525.62
234,23484,5549.34
235,23424,5573.05
236,23372,5596.77
237,23340,5620.48
238,23324,5644.20
239,23320,5667.91
240,23316,5691.63
241,23320,5715.34
242,23324,5739.06
243,23336,5762.77
244,23356,5786.49
245,23368,5810.20
246,23388,5833.92
247,23404,5857.63
248,23412,5881.35
249,23424,5905.06
250,23432,5928.78
251,23440,5952.49
252,23448,5976.21
253,23468,5999.92
254,23480,6023.64
255,23500,6047.35
256,23524,6071.07
257,23548,6094.78
258,23568,6118.50
259,23588,6142.22
260,23604,6165.93
261,23624,6189.65
262,23644,6213.36
263,23664,6237.08
264,23688,6260.79
265,23712,6284.51
266,23724,6308.22
267,23732,6331.94
268,23712,6355.65
269,23680,6379.37
270,23644,6403.08
271,23612,6426.80
272,23592,6450.51
273,23580,6474.23
274,23584,6497.94
275,23592,6521.66
276,23592,6545.37
277,23604,6569.09
278,23616,6592.80
279,23628,6616.52
280,23644,6640.23
281,23656,6663.95
282,23664,6687.66
283,23672,6711.38
284,23680,6735.09
285,23680,6758.81
286,23692,6782.52
287,23700,6806.24
288,23708,6829.95
289,23724,6853.67
290,23740,6877.38
291,23752,6901.10
292,23768,6924.81
293,23788,6948.53
294,23804,6972.24
295,23824,6995.96
296,23836,7019.67
297,23856,7043.39
298,23876,7067.10
299,23896,7090.82
300,23912,7114.53
301,23932,7138.25
302,23944,7161.97
303,23960,7185.68
304,23980,7209.40
305,24000,7233.11
306,24016,7256.83
307,24020,7280.54
308,24012,7304.26
309,23996,7327.97
310,23976,7351.69
311,23956,7375.40
312,23940,7399.12
313,23928,7422.83
314,23928,7446.55
315,23932,7470.26
316,23944,7493.98
317,23952,7517.69
318,23960,7541.41
319,23968,7565.12
320,23980,7588.84
321,23984,7612.55
322,23996,7636.27
323,24004,7659.98
324,24008,7683.70
325,24016,7707.41
326,24020,7731.13
327,24032,7754.84
328,24040,7778.56
329,24056,7802.27
330,24068,7825.99
331,24076,7849.70
332,24088,7873.42
333,24100,7897.13
334,24116,7920.85
335,24132,7944.56
336,24148,7968.28
337,24164,7991.99
338,24172,8015.71
339,24184,8039.42
340,24200,8063.14
341,24212,8086.85
342,24224,8110.57
343,24240,8134.28
344,24256,8158.00
345,24264,8181.72
346,24268,8205.43
347,24264,8229.15
348,24252,8252.86
349,24236,8276.58
350,24224,8300.29
351,24224,8324.01
352,24220,8347.72
353,24224,8371.44
354,24236,8395.15
355,24244,8418.87
356,24252,8442.58
357,24264,8466.30
358,24276,8490.01
359,24284,8513.73
360,24292,8537.44
361,24300,8561.16
362,24308,8584.87
363,24312,8608.59
364,24316,8632.30
365,24320,8656.02
366,24328,8679.73
367,24336,8703.45
368,24340,8727.16
369,24348,8750.88
370,24356,8774.59
371,24364,8798.31
372,24384,8822.02
373,24392,8845.74
374,24404,8869.45
375,24412,8893.17
376,24424,8916.88
377,24428,8940.60
378,24436,8964.31
379,24448,8988.03
380,24456,9011.74
381,24456,9035.46
382,24448,9059.17
383,24440,9082.89
384,24428,9106.60
385,24416,9130.32
386,24412,9154.03
387,24412,9177.75
388,24412,9201.47
389,24416,9225.18
390,24424,9248.90
391,24428,9272.61
392,24440,9296.33
393,24444,9320.04
394,24452,9343.76
395,24456,9367.47
396,24456,9391.19
397,24456,9414.90
398,24456,9438.62
399,24460,9462.33
400,24464,9486.05
401,24464,9509.76
402,24472,9533.48
403,24480,9557.19
404,24488,9580.91
405,24492,9604.62
406,24500,9628.34
407,24504,9652.05
408,24508,9675.77
409,24512,9699.48
410,24516,9723.20
411,24524,9746.91
412,24532,9770.63
413,24536,9794.34
414,24528,9818.06
415,24516,9841.77
416,24496,9865.49
417,24484,9889.20
418,24472,9912.92
419,24468,9936.63
420,24468,9960.35
421,24468,9984.06
422,24468,10007.78
423,24472,10031.49
