Timestamp,IR_Filtered
30.571,-5.972587020892998
30.684,257.9884196060334
30.797,284.4023174787041
30.91,328.0393648559056
31.024,321.1111834891436
31.137,57.29530598838443
31.25,-186.77354952259142
31.363,-269.2861752627025
31.477,-282.1783150562323
31.59,-28.580789724147444
31.703,381.73380453521463
31.816,383.5554012248471
31.93,81.67205614458915
32.043,-67.5393729303185
32.156,-282.7145029960155
32.269,-622.7114958622095
32.382,-573.5763218254851
32.496,-118.77060196241094
32.609,269.85014752203506
32.722,407.1364386526985
32.835,457.04466255140835
32.949,477.8841961711686
33.062,203.28042588546182
33.175,-264.00235806472796
33.288,-353.2580990681161
33.402,-117.0382516210971
33.515,-3.4183278454845194
33.628,49.18621436163909
33.741,99.83471222130406
33.855,-30.96779571149947
33.968,-199.43067446318253
34.081,-229.95007261656013
34.194,-197.43780036917371
34.308,21.977752298195526
34.421,433.10955187637154
34.534,530.1735110835541
34.647,240.8498736578178
34.761,25.59231291608623
34.874,-210.51940775589458
34.987,-621.5315961084613
35.1,-726.3214760422376
35.214,-347.0234238741415
35.327,104.69048754313114
35.44,369.859192578987
35.553,532.8645927810784
35.666,617.6022180108109
35.78,346.704613384262
35.893,-178.87974298420707
36.006,-349.9470043813091
36.119,-224.39856419959543
36.233,-173.25488029194997
36.346,69.84960065726371
36.459,384.5094084565749
36.572,239.60956781333635
36.686,-77.45684841475068
36.799,-238.27910590343427
36.912,-499.43363343663316
37.025,-662.2303113998432
37.139,-269.5575637530348
37.252,366.6398561456976
37.365,602.3523304315115
37.478,449.3199256626093
37.592,327.7621016709536
37.705,139.70582038880525
37.818,-326.8709663690265
37.931,-567.5792679633208
38.045,-281.41979214088354
38.158,55.273525305859806
38.271,233.8477844053033
38.384,346.0116552387456
38.497,229.59899534461127
38.611,-48.15289073126172
38.724,-221.14749793341142
38.837,-321.8208788458458
38.95,-296.07554603329464
39.064,58.12366354413164
39.177,428.35003479417213
39.29,352.7317163497305
39.403,79.1582666957421
39.517,-52.62800693173494
39.63,-271.8762878065071
39.743,-484.52006264724815
39.856,-216.1088706819578
39.97,237.8880237644071
40.083,306.09155356774096
40.196,188.25271755644874
40.309,152.12200086499584
40.423,-37.42828569520492
40.536,-341.07229979955787
40.649,-272.7312233834433
40.762,138.06478798541488
40.876,304.3890127341339
40.989,203.94255115021843
41.102,179.34369716668013
41.215,-16.419034998764882
41.329,-438.4671601965989
41.442,-528.8715534287205
41.555,-294.69739400802445
41.668,-60.50805347478571
41.781,302.3315727769804
41.895,610.160200275977
42.008,485.0934387864043
42.121,181.2729580226453
42.234,-43.828995386364184
42.348,-276.5549288630332
42.461,-358.7147992821834
42.574,-123.83824929768693
42.687,110.9802555125481
42.801,25.822660392778673
42.914,-134.92624683570114
43.027,-126.64716813436377
43.14,-203.62734471322952
43.254,-246.0823337630309
43.367,167.49891150677766
43.48,524.3321235355552
43.593,345.4715553871258
43.707,179.76672611096265
43.82,72.07426094228556
43.933,-377.5098284005843
44.046,-632.5433132135294
44.16,-285.24596824169356
44.273,183.14640604821244
44.386,443.2014923266751
44.499,458.5841953183668
44.612,222.38797093276244
44.726,-115.9771796377544
44.839,-437.89141242887354
44.952,-585.3495788076673
45.065,-307.9981241561753
45.179,232.397386796139
45.292,495.1749959558087
45.405,344.1640010590886
45.518,135.14443383511414
45.632,-60.624231666390195
45.745,-348.9204772412307
45.858,-382.30916327894465
45.971,-17.75328523321008
46.085,283.0155257849603
46.198,328.9672051473863
46.311,253.3193748331293
46.424,69.94654273896533
46.538,-120.30849519153601
46.651,-195.96137147299987
46.764,-78.4760776148622
46.877,256.16948692828316
46.991,393.1284104212399
47.104,64.04938686255366
47.217,-315.2408196557931
47.33,-668.3231289042352
47.443,-1203.9663179659583
47.557,-1354.225459948533
47.67,-715.2375577475128
47.783,69.69929411830725
47.896,563.9944048859925
48.01,1069.8037389806673
48.123,1602.8102557378922
48.236,1726.2182615533768
48.349,1497.4220638295462
48.463,1530.6504282008677
48.576,1666.4561357381997
48.689,1023.9592550731458
48.802,-88.51537451834581
48.916,-1018.5335747359227
49.029,-2435.938257313419
49.142,-3916.2251399091747
49.255,-4381.2476469600015
49.369,-4753.036479680009
49.482,-4408.405905305372
49.595,-2631.57838722902
49.708,-1569.8003163809778
49.822,1794.1906314481967
49.935,8807.955251371968
50.048,10437.23265583719
50.161,8389.42417979152
50.274,10744.310171361163
50.388,7077.298698150965
50.501,-5067.098909690986
50.614,-9283.045966574384
50.727,-8125.376864137591
50.841,-11414.072449817408
50.954,-10113.369988558978
51.067,-2654.46393465076
51.18,1094.5764496729298
51.294,2446.200604718707
51.407,4528.186831430569
51.52,4713.225133258371
51.633,3833.1746427605435
51.747,3231.4528712832102
51.86,1953.3135111105232
51.973,605.0062350984165
52.086,-253.99550122264668
52.2,-1029.4410434936092
52.313,-1422.8181927061764
52.426,-1341.897277340509
52.539,-1054.8113854514868
52.653,-488.5245627471004
