Sample_Index,IR_Value,Timestamp_ms
0,21324,0.00
1,21248,3.33
2,21244,6.67
3,21232,10.00
4,21268,13.33
5,21312,16.67
6,21384,20.00
7,21396,23.33
8,21392,26.67
9,21476,30.00
10,21744,33.33
11,22188,36.67
12,22792,40.00
13,23424,43.33
14,24008,46.67
15,24432,50.00
16,24736,53.33
17,24996,56.67
18,25292,60.00
19,25472,63.33
20,25584,66.67
21,25664,70.00
22,25724,73.33
23,25780,76.67
24,25820,80.00
25,25844,83.33
26,25868,86.67
27,25900,90.00
28,25944,93.33
29,26000,96.67
30,26060,100.00
31,26108,103.33
32,26152,106.67
33,26200,110.00
34,26252,113.33
35,26300,116.67
36,26308,120.00
37,26296,123.33
38,26288,126.67
39,26288,130.00
40,26300,133.33
41,26324,136.67
42,26368,140.00
43,26416,143.33
44,26376,146.67
45,26336,150.00
46,26272,153.33
47,26184,156.67
48,26152,160.00
49,26092,163.33
50,25992,166.67
51,25868,170.00
52,25720,173.33
53,25592,176.67
54,25508,180.00
55,25468,183.33
56,25456,186.67
57,25468,190.00
58,25480,193.33
59,25488,196.67
60,25500,200.00
61,25504,203.33
62,25508,206.67
63,25512,210.00
64,25508,213.33
65,25492,216.67
66,25480,220.00
67,25472,223.33
68,25512,226.67
69,25552,230.00
70,25548,233.33
71,25536,236.67
72,25524,240.00
73,25512,243.33
74,25500,246.67
75,25488,250.00
76,25480,253.33
77,25472,256.67
78,25468,260.00
79,25460,263.33
80,25460,266.67
81,25456,270.00
82,25468,273.33
83,25472,276.67
84,25480,280.00
85,25492,283.33
86,25504,286.67
87,25516,290.00
88,25532,293.33
89,25536,296.67
90,25548,300.00
91,25568,303.33
92,25576,306.67
93,25596,310.00
94,25604,313.33
95,25620,316.67
96,25636,320.00
97,25652,323.33
98,25632,326.67
99,25568,330.00
100,25456,333.33
101,25304,336.67
102,25144,340.00
103,25012,343.33
104,24920,346.67
105,24872,350.00
106,24856,353.33
107,24864,356.67
108,24880,360.00
109,24896,363.33
110,24916,366.67
111,24928,370.00
112,24948,373.33
113,24964,376.67
114,24968,380.00
115,24964,383.33
116,24936,386.67
117,24904,390.00
118,24884,393.33
119,24868,396.67
120,24864,400.00
121,24848,403.33
122,24840,406.67
123,24848,410.00
124,24864,413.33
125,24884,416.67
126,24900,420.00
127,24912,423.33
128,24924,426.67
129,24940,430.00
130,24956,433.33
131,24976,436.67
132,24996,440.00
133,25016,443.33
134,25040,446.67
135,25064,450.00
136,25080,453.33
137,25104,456.67
138,25136,460.00
